,date,tweet_count,cums
0,2022-09-14,801,801
1,2022-09-15,26920,27721
2,2022-09-16,119427,147148
3,2022-09-17,460882,608030
4,2022-09-18,578115,1186145
5,2022-09-19,890464,2076609
6,2022-09-20,1746025,3822634
7,2022-09-21,3177684,7000318
8,2022-09-22,4142369,11142687
9,2022-09-23,5743365,16886052
10,2022-09-24,4768949,21655001
11,2022-09-25,3395012,25050013
12,2022-09-26,2686837,27736850
13,2022-09-27,3379609,31116459
14,2022-09-28,3109242,34225701
15,2022-09-29,3830924,38056625
16,2022-09-30,3257423,41314048
17,2022-10-01,2258736,43572784
18,2022-10-02,1907399,45480183
19,2022-10-03,181087,45661270
