,date,tweet_count,cums
0,2022-09-14,7250,7250
1,2022-09-15,156103,163353
2,2022-09-16,599320,762673
3,2022-09-17,1336142,2098815
4,2022-09-18,1763614,3862429
5,2022-09-19,2852627,6715056
6,2022-09-20,5200316,11915372
7,2022-09-21,8952876,20868248
8,2022-09-22,13673836,34542084
9,2022-09-23,23889547,58431631
10,2022-09-24,22340605,80772236
11,2022-09-25,17212503,97984739
12,2022-09-26,14361899,112346638
13,2022-09-27,16186274,128532912
14,2022-09-28,14516970,143049882
15,2022-09-29,17803874,160853756
16,2022-09-30,17553491,178407247
17,2022-10-01,14106256,192513503
18,2022-10-02,13800881,206314384
19,2022-10-03,1560383,207874767
