,date,tweet_count,cums
0,2022-10-06T16:00,2280,3394946
1,2022-10-06T17:00,2305,3397251
2,2022-10-06T18:00,2279,3399530
3,2022-10-06T19:00,1736,3401266
4,2022-10-06T20:00,2284,3403550
5,2022-10-06T21:00,2027,3405577
6,2022-10-06T22:00,1531,3407108
7,2022-10-06T23:00,1008,3408116
8,2022-10-07T00:00,656,3408772
9,2022-10-07T01:00,568,3409340
10,2022-10-07T02:00,426,3409766
11,2022-10-07T03:00,542,3410308
12,2022-10-07T04:00,643,3410951
13,2022-10-07T05:00,1000,3411951
14,2022-10-07T06:00,1285,3413236
15,2022-10-07T07:00,1553,3414789
16,2022-10-07T08:00,1944,3416733
17,2022-10-07T09:00,1623,3418356
18,2022-10-07T10:00,1366,3419722
19,2022-10-07T11:00,1360,3421082
20,2022-10-07T12:00,1299,3422381
21,2022-10-07T13:00,1347,3423728
22,2022-10-07T14:00,1063,3424791
23,2022-10-07T15:00,1011,3425802
24,2022-10-07T16:00,344,3426146
